rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,ma_window,start_date,end_date
0.095,-0.1,30.0,10,0,3.7398344358324453,1.2771867538063264,1.4666361287651077,1.3586624987781932,2.1551940639269405,50,2020-01-01,2022-07-31
0.09,-0.1,30.0,10,0,3.7398344358324453,1.2771867538063264,1.4666361287651077,1.3586624987781932,2.1551940639269405,50,2020-01-01,2022-07-31
0.05,-0.075,30.0,10,0,3.672291099023599,0.8413872339459477,0.858946798464971,2.1497066944567202,2.030308219178082,50,2020-01-01,2022-07-31
0.09,-0.09,30.0,10,0,3.657526422821577,1.2796168946189157,1.6392289282946293,1.326904640343763,2.154109589041096,50,2020-01-01,2022-07-31
0.055,-0.075,30.0,10,0,3.5866855520489405,0.8424904413993094,0.858946798464971,2.089736549798152,2.037214611872146,50,2020-01-01,2022-07-31
0.095,-0.09,30.0,10,0,3.5762273344900692,1.2785658300289475,1.7205280166261372,1.3182116616757165,2.1218607305936072,50,2020-01-01,2022-07-31
0.09,-0.095,30.0,10,0,3.5395271844351117,1.2789094641287462,1.6392289282946293,1.2848403429169548,2.154052511415525,50,2020-01-01,2022-07-31
0.095,-0.1,30.0,10,0,3.5317762815769633,1.5310105032057977,2.681324847659402,0.9223306801389966,2.5010844748858445,0,2020-01-01,2022-07-31
0.09,-0.1,30.0,10,0,3.5317762815769633,1.5310105032057977,2.681324847659402,0.9223306801389966,2.5010844748858445,0,2020-01-01,2022-07-31
0.055,-0.07,30.0,10,0,3.514808438470675,0.7580909897739575,0.7182347694212092,2.285197239577691,2.0288812785388126,50,2020-01-01,2022-07-31
0.095,-0.095,30.0,10,0,3.458228096103604,1.2778577534108084,1.7205280166261372,1.2754573173381494,2.1218036529680364,50,2020-01-01,2022-07-31
0.085,-0.09,30.0,10,0,3.4363167800271515,1.1119067959515139,1.7694228800822365,1.4342684648902317,2.1547374429223742,50,2020-01-01,2022-07-31
0.085,-0.1,30.0,10,0,3.4333458010311664,1.1102275094541956,1.596830080552715,1.4317068636348116,2.1599885844748856,50,2020-01-01,2022-07-31
0.09,-0.09,30.0,10,0,3.430552847438369,1.533558431031715,2.792293289866994,0.8944074862614502,2.5010844748858445,0,2020-01-01,2022-07-31
0.05,-0.085,15.0,10,0,3.4043066640962456,0.8332478548534359,0.5819987410445826,2.0241922264774512,2.01837899543379,50,2020-01-01,2022-07-31
0.085,-0.1,15.0,10,0,3.387689036050462,1.147957906035544,1.5745335681421029,1.3841040816876213,2.1321061643835617,50,2020-01-01,2022-07-31
0.05,-0.08,30.0,10,0,3.386053335344219,0.839817436508861,0.8068295170665554,1.9801740976618096,2.0361301369863014,50,2020-01-01,2022-07-31
0.095,-0.1,15.0,10,0,3.360740580692112,1.1521820446331257,1.7922054914228553,1.3453163645615693,2.168150684931507,50,2020-01-01,2022-07-31
0.05,-0.07,30.0,10,0,3.323948991441877,0.7548999823429934,0.7182347694212086,2.201393899106535,2.000171232876712,50,2020-01-01,2022-07-31
0.085,-0.095,30.0,10,0,3.3183175416406905,1.1110923888336297,1.7694228800822365,1.3860692095494302,2.1546803652968034,50,2020-01-01,2022-07-31
0.095,-0.1,15.0,10,0,3.314395977596778,1.4194014015624712,3.021936086764836,0.933727955034119,2.500799086757991,0,2020-01-01,2022-07-31
0.06,-0.07,30.0,10,0,3.3007326171833253,0.7636828701739643,0.7182347694212099,2.073199869312304,2.0847602739726026,50,2020-01-01,2022-07-31
0.055,-0.08,30.0,10,0,3.3004477883695604,0.8409224539960587,0.8068295170665554,1.9210593655814103,2.043036529680365,50,2020-01-01,2022-07-31
0.05,-0.075,15.0,10,0,3.293973750337204,0.7506370744586861,0.5819987410445826,2.184673026074791,2.0086472602739724,50,2020-01-01,2022-07-31
0.095,-0.09,30.0,10,0,3.2876294017849323,1.5335262506195,2.9352167355204304,0.8571627328130954,2.5010844748858445,0,2020-01-01,2022-07-31
0.085,-0.095,15.0,10,0,3.28496526963504,1.1479275269866838,1.7332327920720965,1.320760920103122,2.1666666666666665,50,2020-01-01,2022-07-31
0.09,-0.095,30.0,10,0,3.284599639787954,1.5327160118894438,2.792293289866993,0.8568255060427619,2.5010844748858445,0,2020-01-01,2022-07-31
0.09,-0.1,15.0,10,0,3.2556179464786803,1.1533927339469063,1.7922054914228553,1.3001560637285559,2.1710045662100454,50,2020-01-01,2022-07-31
0.055,-0.085,15.0,10,0,3.244311625115386,0.8250625519212674,0.6620146748160831,1.9496033274952471,2.016923515981735,50,2020-01-01,2022-07-31
0.055,-0.075,15.0,10,0,3.223071691611551,0.7439691182900942,0.5819987410445826,2.134246919475989,2.0298801369863013,50,2020-01-01,2022-07-31
0.06,-0.075,30.0,10,0,3.214284263464751,0.8474702689328476,0.858946798464971,1.8119552775698575,2.0932077625570775,50,2020-01-01,2022-07-31
0.095,-0.1,30.0,10,0,3.208174364874288,1.2057633329226871,1.5615403498019882,1.358734465370759,1.9582191780821918,100,2020-01-01,2022-07-31
0.09,-0.1,30.0,10,0,3.208174364874288,1.2057633329226871,1.5615403498019882,1.358734465370759,1.9582191780821918,100,2020-01-01,2022-07-31
0.09,-0.09,30.0,10,0,3.1443787669200787,1.2085649136656358,1.649511532264821,1.3293259713558618,1.9571917808219177,100,2020-01-01,2022-07-31
0.065,-0.07,30.0,10,0,3.1418861079712177,0.7641891204058752,0.7182347694212099,1.9664138057520644,2.090810502283105,50,2020-01-01,2022-07-31
0.095,-0.095,30.0,10,0,3.1416761941345177,1.5326836973054794,2.9352167355204295,0.8195595641832932,2.5010844748858445,0,2020-01-01,2022-07-31
0.05,-0.085,30.0,10,0,3.0887202235469107,0.8141054158346707,0.7736378364864676,1.898790870942874,1.9981164383561643,50,2020-01-01,2022-07-31
0.095,-0.095,15.0,10,0,3.085923908969918,1.1513165201097784,2.0373967869506497,1.2555712553695517,2.134760273972603,50,2020-01-01,2022-07-31
0.065,-0.075,30.0,10,0,3.076841116177358,0.8448774803873096,0.858946798464971,1.7397986895011022,2.0932077625570775,50,2020-01-01,2022-07-31
